NOTE: Only the first 10000 rows were processed for anomaly detection due to performance limits.
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2022 | CO2: 191850.2
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2021 | CO2: 190690.9
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2020 | CO2: 196750.0
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2019 | CO2: 193170.4
Anomaly detected — Facility: ABERDEEN ENERGY LLC | Year: 2018 | CO2: 194154.4
Anomaly detected — Facility: ABSOLUTE ENERGY LLC | Year: 2014 | CO2: 178708.2
Anomaly detected — Facility: AC 857 A | Year: 2022 | CO2: 192278.8
Anomaly detected — Facility: AC 857 A | Year: 2021 | CO2: 221761.0
Anomaly detected — Facility: AC 857 A | Year: 2019 | CO2: 202022.8
Anomaly detected — Facility: AC 857 A | Year: 2018 | CO2: 200083.5
Anomaly detected — Facility: AC 857 A | Year: 2017 | CO2: 196231.2
Anomaly detected — Facility: AC 857 A | Year: 2016 | CO2: 220226.2
Anomaly detected — Facility: AC 857 A | Year: 2015 | CO2: 230586.0
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2022 | CO2: 424439.8
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2022 | CO2: 211752.8
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2021 | CO2: 200546.4
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2017 | CO2: 494982.2
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2016 | CO2: 378749.1
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2015 | CO2: 356894.5
Anomaly detected — Facility: ADM CORN PROCESSING | Year: 2011 | CO2: 337560.0
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2022 | CO2: 340709.6
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2021 | CO2: 351697.6
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2020 | CO2: 350650.0
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2019 | CO2: 383849.2
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2018 | CO2: 344818.1
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2017 | CO2: 374748.2
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2016 | CO2: 327115.0
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2015 | CO2: 340468.3
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2014 | CO2: 362563.7
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2013 | CO2: 436635.0
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2012 | CO2: 461664.0
Anomaly detected — Facility: ADVANSIX INCORPORATED - HOPEWELL | Year: 2011 | CO2: 328499.0
Anomaly detected — Facility: Aera Energy Alberta Finley Shale | Year: 2015 | CO2: 193887.0
Anomaly detected — Facility: Aera Energy Alberta Finley Shale | Year: 2012 | CO2: 191892.0
Anomaly detected — Facility: Aera Energy Belridge | Year: 2022 | CO2: 270929.5
Anomaly detected — Facility: Aera Energy Belridge | Year: 2022 | CO2: 286055.9
Anomaly detected — Facility: Aera Energy Belridge | Year: 2022 | CO2: 323173.0
Anomaly detected — Facility: Aera Energy Belridge | Year: 2022 | CO2: 272592.7
Anomaly detected — Facility: Aera Energy Belridge | Year: 2021 | CO2: 276738.4
Anomaly detected — Facility: Aera Energy Belridge | Year: 2021 | CO2: 308264.7
Anomaly detected — Facility: Aera Energy Belridge | Year: 2021 | CO2: 327567.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2021 | CO2: 301016.3
Anomaly detected — Facility: Aera Energy Belridge | Year: 2020 | CO2: 263022.4
Anomaly detected — Facility: Aera Energy Belridge | Year: 2020 | CO2: 310996.7
Anomaly detected — Facility: Aera Energy Belridge | Year: 2020 | CO2: 335376.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2020 | CO2: 195013.9
Anomaly detected — Facility: Aera Energy Belridge | Year: 2019 | CO2: 247511.3
Anomaly detected — Facility: Aera Energy Belridge | Year: 2019 | CO2: 220861.4
Anomaly detected — Facility: Aera Energy Belridge | Year: 2019 | CO2: 321185.2
Anomaly detected — Facility: Aera Energy Belridge | Year: 2019 | CO2: 386093.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2018 | CO2: 254335.9
Anomaly detected — Facility: Aera Energy Belridge | Year: 2018 | CO2: 295505.2
Anomaly detected — Facility: Aera Energy Belridge | Year: 2018 | CO2: 328665.5
Anomaly detected — Facility: Aera Energy Belridge | Year: 2018 | CO2: 429560.9
Anomaly detected — Facility: Aera Energy Belridge | Year: 2017 | CO2: 261191.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2017 | CO2: 299782.7
Anomaly detected — Facility: Aera Energy Belridge | Year: 2017 | CO2: 317785.5
Anomaly detected — Facility: Aera Energy Belridge | Year: 2017 | CO2: 468104.5
Anomaly detected — Facility: Aera Energy Belridge | Year: 2016 | CO2: 243285.9
Anomaly detected — Facility: Aera Energy Belridge | Year: 2016 | CO2: 492806.0
Anomaly detected — Facility: Aera Energy Belridge | Year: 2016 | CO2: 816558.8
Anomaly detected — Facility: Aera Energy Belridge | Year: 2015 | CO2: 209733.0
Anomaly detected — Facility: Aera Energy Belridge | Year: 2015 | CO2: 495617.2
Anomaly detected — Facility: Aera Energy Belridge | Year: 2015 | CO2: 785402.6
Anomaly detected — Facility: Aera Energy Belridge | Year: 2014 | CO2: 203451.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2014 | CO2: 264723.9
Anomaly detected — Facility: Aera Energy Belridge | Year: 2014 | CO2: 510092.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2014 | CO2: 419194.1
Anomaly detected — Facility: Aera Energy Belridge | Year: 2013 | CO2: 235187.8
Anomaly detected — Facility: Aera Energy Belridge | Year: 2013 | CO2: 590673.3
Anomaly detected — Facility: Aera Energy Belridge | Year: 2013 | CO2: 468570.7
Anomaly detected — Facility: Aera Energy Belridge | Year: 2012 | CO2: 342136.0
Anomaly detected — Facility: Aera Energy Belridge | Year: 2012 | CO2: 338713.4
Anomaly detected — Facility: Aera Energy Belridge | Year: 2012 | CO2: 379153.5
Anomaly detected — Facility: Aera Energy Belridge | Year: 2011 | CO2: 841406.0
Anomaly detected — Facility: Aera Energy Belridge | Year: 2011 | CO2: 225399.3
Anomaly detected — Facility: Aera Energy Belridge | Year: 2011 | CO2: 230851.6
Anomaly detected — Facility: Aera Energy Coalinga | Year: 2015 | CO2: 196961.8
Anomaly detected — Facility: Aera Energy Coalinga | Year: 2014 | CO2: 199616.4
Anomaly detected — Facility: Aera Energy Coalinga | Year: 2013 | CO2: 247021.9
Anomaly detected — Facility: Aera Energy Coalinga | Year: 2012 | CO2: 222862.5
Anomaly detected — Facility: Aera Energy Coalinga | Year: 2011 | CO2: 222256.1
Anomaly detected — Facility: Aera Energy MOCO | Year: 2013 | CO2: 375224.1
Anomaly detected — Facility: Aera Energy MOCO | Year: 2012 | CO2: 401158.8
Anomaly detected — Facility: Aera Energy MOCO | Year: 2011 | CO2: 423918.1
Anomaly detected — Facility: Aera Energy San Ardo | Year: 2019 | CO2: 267237.1
Anomaly detected — Facility: Aera Energy San Ardo | Year: 2018 | CO2: 281209.7
Anomaly detected — Facility: Aera Energy San Ardo | Year: 2017 | CO2: 286273.2
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2022 | CO2: 410708.6
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2021 | CO2: 297794.7
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2020 | CO2: 341646.1
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2019 | CO2: 315705.8
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2018 | CO2: 375693.4
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2017 | CO2: 367900.5
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2016 | CO2: 420335.9
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2015 | CO2: 365523.0
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2014 | CO2: 400050.0
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2013 | CO2: 399253.0
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2012 | CO2: 418265.0
Anomaly detected — Facility: AGRIUM US BORGER NITROGEN OPERATIONS | Year: 2011 | CO2: 412644.0
Anomaly detected — Facility: AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT | Year: 2019 | CO2: 216218.4
Anomaly detected — Facility: AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT | Year: 2016 | CO2: 205359.5
Anomaly detected — Facility: AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT | Year: 2015 | CO2: 210756.5
Anomaly detected — Facility: AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT | Year: 2013 | CO2: 204949.2
Anomaly detected — Facility: AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT | Year: 2012 | CO2: 205215.1
Anomaly detected — Facility: AIR LIQUIDE - PORT NECHES ASU COGENERATION PLANT | Year: 2011 | CO2: 206933.6
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2022 | CO2: 380575.9
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2021 | CO2: 301278.3
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2020 | CO2: 308461.1
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2019 | CO2: 308651.1
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2018 | CO2: 350893.6
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2017 | CO2: 301618.2
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2016 | CO2: 395116.0
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2015 | CO2: 406960.1
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2013 | CO2: 409922.1
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2012 | CO2: 411052.9
Anomaly detected — Facility: AIR LIQUIDE AMERICA CORP. | Year: 2011 | CO2: 338746.8
Anomaly detected — Facility: AIR LIQUIDE GEISMAR UTILITY SERVICES | Year: 2021 | CO2: 214240.7
Anomaly detected — Facility: AIR LIQUIDE GEISMAR UTILITY SERVICES | Year: 2014 | CO2: 200265.4
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2022 | CO2: 317326.1
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2021 | CO2: 371441.6
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2020 | CO2: 389183.9
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2019 | CO2: 244524.9
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2018 | CO2: 197160.4
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2018 | CO2: 370976.4
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2017 | CO2: 327581.6
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2016 | CO2: 202179.4
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2015 | CO2: 334574.1
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2014 | CO2: 206630.8
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2014 | CO2: 248459.4
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2013 | CO2: 368239.0
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2012 | CO2: 348187.0
Anomaly detected — Facility: Air Products Port Arthur Facility | Year: 2011 | CO2: 333294.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2020 | CO2: 1428074.4
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2020 | CO2: 233097.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2020 | CO2: 189606.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2020 | CO2: 216715.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2020 | CO2: 236756.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2019 | CO2: 1519319.3
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2019 | CO2: 252670.5
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2019 | CO2: 202688.5
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2019 | CO2: 243871.1
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2019 | CO2: 249520.4
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2018 | CO2: 1551038.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2018 | CO2: 244603.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2018 | CO2: 205057.5
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2018 | CO2: 207543.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2018 | CO2: 241405.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2018 | CO2: 268060.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2017 | CO2: 1531706.5
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2017 | CO2: 251823.9
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2017 | CO2: 218688.4
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2017 | CO2: 238313.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2017 | CO2: 247065.7
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2016 | CO2: 1478322.8
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2016 | CO2: 269797.7
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2016 | CO2: 253974.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2016 | CO2: 253345.2
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2016 | CO2: 275303.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2015 | CO2: 1575273.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2015 | CO2: 207468.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2015 | CO2: 229988.0
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2015 | CO2: 246517.9
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 1622712.8
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 210902.9
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 202638.6
Anomaly detected — Facility: AK Steel Corporation - Middletown | Year: 2014 | CO2: 203898.1
