NOTE: Only the first 10000 rows were processed for anomaly detection due to performance limits.
Facility Id,FRS Id,Facility Name,City,State,Primary NAICS Code,Reporting Year,Industry Type (subparts),Industry Type (sectors),Unit Name,Unit Type,Unit Reporting Method,Unit Maximum Rated Heat Input Capacity (mmBTU/hr),Unit CO2 emissions (non-biogenic),Unit Methane (CH4) emissions,Unit Nitrous Oxide (N2O) emissions,Unit Biogenic CO2 emissions (metric tons),rolling_7d,pct_change,Predicted CO2,Deviation (%),Flagged,Anomaly,summary,anomaly
1005353,110038367228.0,ABERDEEN ENERGY LLC,MINA,SD,325193.0,2022,C,Other,CP-001,OCS (Other combustion source),Tier1/2/3,150.0,191850.2,90.5,107.876,0.0,40593.8,5.577645969760346,40272.40999662157,376.381224804014,Yes,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1005353,110038367228.0,ABERDEEN ENERGY LLC,MINA,SD,325193.0,2021,C,Other,CP-001,OCS (Other combustion source),Tier1/2/3,150.0,190690.9,89.75,106.982,0.0,60982.40000000001,-0.0060427354258688,60262.02097013683,216.43628429670144,Yes,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1005353,110038367228.0,ABERDEEN ENERGY LLC,MINA,SD,325193.0,2020,C,Other,CP-001,OCS (Other combustion source),Tier1/2/3,150.0,196750.0,92.75,110.558,0.0,87987.95714285714,0.0317744580365397,86754.16365435478,126.79026770852144,Yes,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1005353,110038367228.0,ABERDEEN ENERGY LLC,MINA,SD,325193.0,2019,C,Other,CP-001,OCS (Other combustion source),Tier1/2/3,150.0,193170.4,91.0,108.472,0.0,114518.35714285714,-0.0181936467598475,112779.41509169116,71.28161184640823,Yes,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1005353,110038367228.0,ABERDEEN ENERGY LLC,MINA,SD,325193.0,2018,C,Other,CP-001,OCS (Other combustion source),Tier1/2/3,150.0,194154.4,91.5,109.068,0.0,142254.7,0.0050939481411229,139989.60739311986,38.69200979668023,Yes,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002627,110027236621.0,ABSOLUTE ENERGY LLC,ST ANSGAR &#40;MONA&#41;,IA,325193.0,2014,"C,II","Other, Waste",GP-TO's and DDGS Dryers,OCS (Other combustion source),Tier1/2/3,122.0,178708.2,85.0,102.214,518.6,165829.88571428577,0.0024411997329938,162982.5891279823,9.648644653490662,No,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211120.0,2022,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,249.36,192278.8,93.5,118.604,0.0,177574.2857142857,0.1539910707373091,174865.1867569313,9.95830763459751,No,True,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211120.0,2021,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,249.36,221761.0,107.0,133.802,0.0,184303.0428571429,0.1533304763707699,181433.8438328732,22.22692046599306,Yes,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211120.0,2019,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,249.36,202022.8,98.0,123.372,0.0,188077.14285714287,0.1138274897988775,185056.469887615,9.168190727235126,No,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211120.0,2018,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,249.36,200083.5,97.0,121.882,0.0,190940.75714285715,-0.0095994115515674,187827.3145850994,6.525241252569606,No,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211111.0,2017,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,248.0,196231.2,96.5,123.372,0.0,194339.3,-0.0192534616797486,191123.78449025133,2.6723076478266337,No,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211111.0,2016,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,52.1,220226.2,106.75,133.802,0.0,201997.2285714286,0.1222792298064732,198605.44442413645,10.886285438223377,No,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
1002685,110043804087.0,AC 857 A,Offshore,TX,211111.0,2015,"C,W",Petroleum and Natural Gas Systems,GP- Perdido AC-857,OCS (Other combustion source),Tier1/2/3,41.19,230586.0,112.0,141.252,0.0,207469.68571428573,0.0470416326486131,203939.68075377267,13.065784524002892,No,False,"
🧾 AI-Generated Compliance Summary:

Out of 165518 records, 147218 were flagged for emissions significantly outside the expected baseline (±15%).

- Facility 1007965 reported 7224 vs predicted 80634 → deviation: -91.0%
- Facility 1002565 reported 7368 vs predicted 9748 → deviation: -24.4%

This summary supports audit readiness by highlighting key anomalies.",True
